"TGS.2620","TGS.2611","TGS.822","TGS.832","TGS.2602","TGS.2600","TGS.826","TGS.825","Temp","Humid","nomor","nama","category"
1893.1875,907.6875,960.375,1749.375,791.0625,1964.625,1331.625,1785.5625,38.04,47.17,"1","J1","L1"
1971.5625,907.5,957.1875,2056.875,799.125,2046.9375,1406.25,1866.375,36.19,50.46,"2","J1","L1"
1947.375,891.9375,960.5625,1912.875,776.25,2021.25,1295.0625,1803.1875,36.26,49.72,"3","J1","L1"
1923.75,930.5625,958.5,1752.75,776.4375,2011.6875,1344.75,1767.75,37.99,47.71,"4","J1","L1"
1935.75,884.25,958.6875,1893,781.3125,2008.875,1297.125,1787.25,36.31,48.78,"5","J1","L1"
2207.25,1048.3125,933.1875,2470.125,805.875,2283.75,1290.75,2292.1875,35.93,50.63,"1","J1","L2"
2187.375,1032.5625,934.6875,2432.25,803.625,2262.5625,1296,2239.6875,35.92,49.84,"2","J1","L2"
2172.5625,1026.1875,938.4375,2396.8125,800.8125,2254.3125,1260.75,2208.5625,36.03,50.86,"3","J1","L2"
2164.6875,1018.3125,941.0625,2406,817.5,2238.75,1274.8125,2215.5,36.07,49.75,"4","J1","L2"
2177.4375,1040.625,942.375,2517.375,844.6875,2244.1875,1339.6875,2296.5,36.07,51.38,"5","J1","L2"
2088.9375,969.75,943.3125,2263.125,788.4375,2167.3125,1308.1875,2062.6875,36.06,50.26,"1","J1","L3"
2066.0625,957,944.4375,2226.75,786,2144.0625,1297.5,2013,36.06,50.17,"2","J1","L3"
2068.875,953.0625,944.625,2227.125,790.6875,2145,1288.875,2020.5,36.06,49.88,"3","J1","L3"
2065.5,954.1875,945.5625,2259.375,811.5,2135.0625,1330.3125,2025,36.06,50.31,"4","J1","L3"
2022.5625,923.8125,944.25,2155.875,778.125,2096.8125,1294.6875,1938,35.99,48.64,"5","J1","L3"
2128.125,1009.5,962.25,2439.75,893.625,2164.125,1339.6875,2286.9375,36.37,49.48,"1","J2","L1"
2151.9375,1025.25,955.3125,2614.5,963.5625,2183.625,1377.9375,2391.375,36.46,49.39,"2","J2","L1"
2151.9375,1025.25,958.5,2557.6875,982.6875,2183.625,1387.5,2391.375,36.34,48.2,"3","J2","L1"
2151.75,1027.3125,955.3125,2614.5,989.25,2183.4375,1441.3125,2401.875,36.37,48.7,"4","J2","L1"
2145.9375,1023.5625,962.625,2510.0625,944.625,2171.8125,1378.3125,2315.8125,36.46,48.67,"5","J2","L1"
2073,959.25,958.875,2222.25,825.9375,2144.8125,1341.75,2072.8125,36.26,49.33,"1","J2","L2"
2058.9375,952.125,956.0625,2242.125,842.25,2126.8125,1389.375,2092.5,36.43,48.44,"2","J2","L2"
2075.25,960,959.0625,2202.5625,822.9375,2147.625,1320.375,2090.4375,36.33,48.18,"3","J2","L2"
2082.9375,962.0625,957.375,2252.4375,842.25,2156.8125,1389.375,2101.125,36.22,49.19,"4","J2","L2"
2045.8125,941.25,958.125,2148.1875,811.3125,2116.3125,1326.75,2039.8125,36.37,47.82,"5","J2","L2"
1979.0625,909.9375,959.0625,2113.3125,892.125,2036.0625,1468.875,1958.0625,36.13,49.93,"1","J2","L3"
1980.9375,917.8125,962.0625,2146.125,928.5,2034,1550.8125,1964.25,36.39,49.53,"2","J2","L3"
1973.25,906,956.8125,2122.3125,900.9375,2031.375,1514.4375,1950.1875,36.26,48.43,"3","J2","L3"
1982.4375,915.1875,964.875,2091.1875,880.875,2038.3125,1466.625,1939.3125,36.34,49.52,"4","J2","L3"
1979.8125,915.9375,961.875,2110.875,897.375,2041.875,1518.375,1951.6875,36.47,49.86,"5","J2","L3"
1837.3125,874.6875,964.3125,1529.0625,771,1926.375,1311.375,1559.0625,38.02,48.83,"1","J3","L1"
1823.0625,875.625,961.3125,1528.5,740.4375,1914.1875,1319.8125,1530.9375,37.86,50.05,"2","J3","L1"
1790.25,853.875,953.25,1455.1875,774.9375,1876.5,1247.8125,1493.0625,37.65,48.4,"3","J3","L1"
1785.75,850.125,955.6875,1458.1875,701.625,1873.6875,1255.5,1467.1875,37.59,49.94,"4","J3","L1"
1831.125,873.5625,958.3125,1728,884.0625,1901.25,1467.375,1683.75,37.84,47.75,"5","J3","L1"
1942.125,885.75,955.875,1904.4375,782.8125,2016,1290.9375,1800.375,36.22,48.58,"1","J3","L2"
1904.25,836.8125,954.1875,1902.9375,729.1875,1974.375,1275.75,1733.0625,36.34,49.74,"2","J3","L2"
1948.3125,893.25,955.6875,1966.6875,773.4375,2022.5625,1358.625,1835.4375,36.29,49.2,"3","J3","L2"
1886.25,908.4375,951.75,1692.1875,756.75,1963.5,1321.6875,1752.375,37.77,47.53,"4","J3","L2"
1959.5625,957,945.75,1803.1875,756.1875,2048.25,1321.875,1893,37.43,48.46,"5","J3","L2"
1857,888.9375,969.9375,1788.5625,928.875,1928.0625,1529.625,1733.8125,38.28,47.75,"1","J3","L3"
1837.125,877.3125,967.875,1693.3125,857.4375,1908.375,1446.375,1666.3125,38.31,47.75,"2","J3","L3"
1832.8125,874.125,964.125,1719.1875,881.625,1901.0625,1474.125,1677.9375,38.13,47.73,"3","J3","L3"
1834.125,875.8125,961.3125,1723.125,886.3125,1903.3125,1460.0625,1684.875,37.97,47.76,"4","J3","L3"
1924.6875,921,960.1875,1844.25,827.25,1999.6875,1314.5625,1795.5,37.83,49.58,"5","J3","L3"
1738.6875,769.875,795,1385.4375,623.625,1809.1875,1083.5625,1363.125,36.47,46.07,"1","J4","L1"
1738.3125,770.625,795,1398.75,619.875,1812,1092.75,1354.875,36.47,46.07,"2","J4","L1"
1711.125,757.875,795,1327.3125,609.1875,1781.4375,1057.6875,1301.0625,36.47,46.07,"3","J4","L1"
1711.125,757.875,795,1322.625,635.0625,1781.4375,1088.625,1301.0625,36.47,46.07,"4","J4","L1"
1712.25,759.75,797.0625,1356.75,634.3125,1780.875,1113.1875,1317.9375,36.57,45.45,"5","J4","L1"
2005.125,973.6875,865.6875,2231.0625,918.75,2061.375,1333.875,2241.1875,36.26,47.34,"1","J4","L2"
1871.0625,871.6875,859.6875,1724.0625,746.4375,1945.875,1244.0625,1802.625,36.1,46.37,"2","J4","L2"
1925.8125,905.4375,864.5625,1866.375,755.8125,2004.1875,1297.875,1921.5,36.22,47.63,"3","J4","L2"
1925.625,905.625,862.125,1837.5,765,2002.875,1270.125,1919.4375,36.29,46.65,"4","J4","L2"
1937.25,909.9375,849.375,1895.0625,781.3125,2008.875,1242.75,1993.5,35.92,43.93,"5","J4","L2"
1877.4375,859.3125,837.75,1719.9375,751.5,1960.5,1267.3125,1817.4375,35.35,44.08,"1","J4","L3"
1867.5,849,832.5,1640.8125,741.75,1953.9375,1224.1875,1770.1875,35.34,42.7,"2","J4","L3"
1862.4375,840.5625,828,1609.5,755.4375,1951.6875,1218.1875,1744.3125,35.11,42.87,"3","J4","L3"
1898.8125,866.4375,828.1875,1728,742.5,1985.4375,1261.6875,1845.1875,35.2,43.09,"4","J4","L3"
1901.4375,867.75,824.625,1691.625,761.8125,1990.875,1238.8125,1833.5625,35.21,43,"5","J4","L3"
2077.875,1026.5625,873.5625,2637.75,1044.5625,2085.75,1211.4375,2577,36.19,43.78,"1","T1","L1"
2108.625,1140.9375,848.8125,2601.9375,1030.3125,2147.4375,1260.1875,2340.5625,37.3,48.62,"2","T1","L1"
2023.3125,978.375,867.5625,2502.75,1019.8125,2034.375,1214.8125,2467.125,36.1,42.8,"3","T1","L1"
2059.6875,1022.0625,859.6875,2420.625,970.3125,2096.25,1252.875,2423.25,36.27,43.79,"4","T1","L1"
2065.875,1003.125,862.875,2621.8125,1068.1875,2074.125,1239.375,2573.25,36.04,42.98,"5","T1","L1"
2275.3125,1130.625,858.9375,3201.5625,1400.8125,2287.875,1335,2992.5,35.89,44.1,"1","T1","L2"
2241.1875,1175.625,861.375,2973.375,1230.1875,2294.625,1330.875,2823.1875,36.15,46.17,"2","T1","L2"
2224.875,1136.8125,864,2789.4375,1175.4375,2234.4375,1351.3125,2788.6875,36.39,45.85,"3","T1","L2"
2248.125,1160.625,862.5,2995.5,1262.8125,2293.3125,1352.25,2842.5,36.2,46.44,"4","T1","L2"
2231.4375,1200.375,855.1875,2851.3125,1195.875,2258.625,1395,2585.25,37.52,48.54,"5","T1","L2"
2171.4375,1139.25,864.375,2674.6875,1091.4375,2222.625,1289.25,2619.9375,36.16,47.25,"1","T1","L3"
2220.9375,1101,867.9375,3033.9375,1295.0625,2243.4375,1309.875,2861.25,36.03,45.55,"2","T1","L3"
2137.875,1050.75,869.0625,2878.3125,1186.875,2169.9375,1268.0625,2701.5,35.98,45.61,"3","T1","L3"
2229.75,1207.3125,859.3125,2740.5,1139.25,2289,1274.8125,2727.9375,36.06,43.46,"4","T1","L3"
2159.0625,1062,858.75,2850.375,1194.1875,2158.3125,1261.875,2773.6875,35.99,42.44,"5","T1","L3"
2404.875,1232.625,931.875,3176.4375,1533,2384.4375,1776,3021.375,37.77,45.39,"1","T2","L1"
2482.3125,1271.4375,951.375,3255.9375,1689.75,2471.4375,1871.8125,3170.25,38.21,44.99,"2","T2","L1"
2377.6875,1251,943.6875,3178.6875,1518.1875,2369.4375,1744.6875,2972.8125,38.2,48.27,"3","T2","L1"
2437.5,1300.6875,946.3125,3265.3125,1527.75,2421.1875,1759.875,3078.375,38.18,48.83,"4","T2","L1"
2445.1875,1304.8125,947.0625,3249.375,1556.0625,2429.8125,1791.75,3066.9375,38.17,49.06,"5","T2","L1"
2635.875,1433.625,952.875,3516.1875,1788,2618.4375,1874.8125,3374.25,38.25,48.95,"1","T2","L2"
2602.6875,1417.5,954.75,3444.1875,1653.5625,2588.25,1790.25,3313.125,38.23,49.66,"2","T2","L2"
2526.9375,1368.5625,957.375,3334.875,1566.5625,2524.5,1708.6875,3206.25,38.25,49.19,"3","T2","L2"
2583.5625,1399.875,958.125,3386.8125,1614.5625,2582.8125,1790.4375,3272.4375,38.27,49.1,"4","T2","L2"
2528.0625,1364.8125,951,3348.9375,1614.75,2510.0625,1858.875,3198.9375,38.24,48.95,"5","T2","L2"
2507.25,1393.5,962.625,3176.625,1592.25,2537.0625,1837.6875,3082.3125,38.35,48.58,"1","T2","L3"
2538.375,1380,964.125,3280.6875,1663.6875,2539.5,1872,3178.125,38.31,48.73,"2","T2","L3"
2537.25,1346.25,964.6875,3299.0625,1691.4375,2544.1875,1901.25,3183.375,38.31,48.63,"3","T2","L3"
2470.5,1308.9375,964.5,3199.5,1569.5625,2476.125,1766.625,3093.75,38.32,48.65,"4","T2","L3"
2404.3125,1237.5,965.625,3010.125,1379.0625,2425.6875,1704.375,2938.875,38.3,48.65,"5","T2","L3"
2613.5625,1463.625,817.6875,3507,1775.4375,2582.25,1848.5625,3326.8125,37.81,46.62,"1","T3","L1"
2536.6875,1415.0625,820.6875,3396.1875,1660.6875,2509.3125,1754.625,3213.375,37.91,46.41,"2","T3","L1"
2558.0625,1437.9375,828.9375,3422.8125,1670.25,2531.625,1727.8125,3242.8125,38.15,47.4,"3","T3","L1"
2567.8125,1437.9375,830.8125,3431.0625,1695,2541.75,1803.375,3251.0625,38.25,46.79,"4","T3","L1"
2567.4375,1429.3125,813.5625,3447.375,1729.3125,2535.375,1789.6875,3266.25,37.65,46.01,"5","T3","L1"
2348.0625,1283.625,829.6875,3111.5625,1404.75,2342.4375,1648.6875,2892.375,37.77,45.12,"1","T3","L2"
2342.4375,1266.5625,817.5,3118.875,1425,2328.75,1644.75,2899.5,37.16,44.76,"2","T3","L2"
2520,1374.9375,793.875,3390.5625,1704,2489.4375,1727.625,3207.9375,36.77,45.62,"3","T3","L2"
2437.3125,1319.4375,802.3125,3254.8125,1582.875,2418,1658.0625,3066.375,37.18,45.27,"4","T3","L2"
2518.5,1380.5625,808.5,3375.5625,1679.25,2493.9375,1745.8125,3190.125,37.46,45.74,"5","T3","L2"
2689.6875,1547.4375,841.125,3637.875,1839.9375,2656.125,1856.4375,3426,38.55,46.89,"1","T3","L3"
2706.1875,1562.4375,842.8125,3643.125,1845.9375,2673.75,1895.625,3442.6875,38.59,47.12,"2","T3","L3"
2733.375,1593.5625,848.8125,3659.625,1836.5625,2703.9375,1871.4375,3472.125,38.59,48.49,"3","T3","L3"
2784.5625,1632.75,850.3125,3715.125,1908.1875,2751.1875,1970.8125,3537.5625,38.59,48.4,"4","T3","L3"
2530.6875,1436.8125,844.3125,3405.375,1593.5625,2516.8125,1857,3173.4375,38.57,47.77,"5","T3","L3"
2388.5625,1321.125,786.5625,3233.625,1411.875,2360.0625,1266.375,3027.9375,34.83,45.36,"1","T4","L1"
2374.6875,1315.3125,788.0625,3197.8125,1351.3125,2349,1230.75,2992.3125,34.89,46.33,"2","T4","L1"
2307.375,1251.375,794.4375,3204.5625,1408.6875,2266.3125,1322.8125,2913.1875,34.97,43.61,"3","T4","L1"
2323.5,1269.5625,795,3189,1383.375,2292.375,1312.5,2918.0625,35,44.34,"4","T4","L1"
2359.3125,1294.6875,791.25,3218.0625,1402.3125,2326.3125,1291.125,2972.8125,34.9,44.51,"5","T4","L1"
2410.125,1333.3125,798.5625,3375.5625,1541.625,2352.9375,1363.6875,3085.875,35.15,43.79,"1","T4","L2"
2428.6875,1349.625,798.9375,3346.5,1486.875,2386.125,1363.875,3083.4375,35.11,46.07,"2","T4","L2"
2449.6875,1380.1875,796.6875,3338.8125,1457.0625,2419.875,1337.0625,3122.0625,35.2,47.19,"3","T4","L2"
2521.5,1434.375,801.9375,3442.6875,1513.125,2482.125,1318.3125,3231.75,35.42,46.31,"4","T4","L2"
2378.25,1310.0625,794.25,3254.25,1423.6875,2342.25,1303.875,3003.75,34.98,45.09,"5","T4","L2"
2650.125,1530.75,796.5,3639.9375,1780.3125,2593.125,1473.75,3419.8125,35.06,47.05,"1","T4","L3"
2663.8125,1549.875,798.9375,3654.1875,1767,2605.3125,1450.875,3439.125,35.18,46.52,"2","T4","L3"
2641.875,1521.375,793.875,3618.1875,1771.3125,2585.8125,1463.8125,3407.625,35.06,45.68,"3","T4","L3"
2702.25,1575.5625,800.625,3674.0625,1798.875,2647.5,1511.8125,3478.3125,35.2,48.24,"4","T4","L3"
2623.6875,1509,793.5,3623.625,1774.875,2560.5,1455.1875,3401.625,35.06,45.07,"5","T4","L3"
